Rank,Name,Team,Position,Pass Comp/Att,Pass Yds,Pass TD,Pass INT,Rush Car,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Targets,Standard,Half PPR,PPR,Projected,Bye Week
199,Cam Ward,Ind,QB,350/562,3821,23,15,65,298,2,0,0,0,0,256.64,256.64,256.64,1.3,11
200,Michael Penix Jr.,Atl,QB,347/545,3962,23,15,47,188,3,0,0,0,0,257.28,257.28,257.28,1.4,5
201,Joshua Palmer,Buf,WR,0/0,0,0,0,0,0,0,42,505,3,66,68.5,89.5,110.5,1,7
202,Diontae Johnson,Cle,WR,0/0,0,0,0,0,0,0,42,505,3,66,68.5,89.5,110.5,1,9
203,Brandin Cooks,Dal,WR,0/0,0,0,0,0,0,0,41,495,3,72,67.5,88,108.5,1,10
204,Darius Slayton,NYG,WR,0/0,0,0,0,2,13,0,28,569,3,49,76.2,90.2,104.2,1,14
205,DeAndre Hopkins,Ten,WR,0/0,0,0,0,2,13,0,66,1033,7,128,146.6,179.6,212.6,1.1,10
206,Brenton Strange,Jax,TE,0/0,0,0,0,0,0,0,61,583,3,86,76.3,106.8,137.3,1.1,8
207,Chig Okonkwo,Ten,TE,0/0,0,0,0,0,0,0,58,592,2,90,71.2,100.2,129.2,1,10
208,Pat Bryant,Den,WR,0/0,0,0,0,0,0,0,24,269,1,39,32.9,44.9,56.9,1,12
209,Quentin Johnston,LAC,WR,0/0,0,0,0,0,0,0,58,592,2,90,71.2,100.2,129.2,1,12
210,Dont't Thornton Jr.,Buf,WR,0/0,0,0,0,0,0,0,62,571,2,92,69.1,100.1,131.1,1,7
211,Adonai Mitchell,IN,WR,0/0,0,0,0,5,27,0,28,374,0,50,40.1,54.1,68.1,1,6
212,Woody Marks,Hou,RB,0/0,0,0,0,49,213,1,22,163,0,31,43.6,54.6,65.6,1,6
213,Kareem Hunt,KC,RB,0/0,0,0,0,66,262,3,14,88,1,18,59,66,73,1.2,10
214,Blake Corum,LAR,RB,0/0,0,0,0,58,246,2,9,63,0,11,42.9,47.4,51.9,1.1,8
215,Mason Taylor,TE,TE,0/0,0,0,0,0,0,0,55,570,2,79,69,96.5,124,1.3,
216,Elijah Arroyo,Sea,TE,0/0,0,0,0,0,0,0,46,462,1,66,52.2,75.2,98.2,1.1,8
217,Pat Freiermuth,Pit,TE,0/0,0,0,0,0,0,0,62,541,3,82,72.1,103.1,134.1,1.1,5
218,Bryce Young,Car,QB,373/599,3903,22,13,51,293,4,0,0,0,0,271.42,271.42,271.42,1.2,14
219,Geno Smith,Sea,QB,400/592,4250,21,13,58,287,2,0,0,0,0,268.7,268.7,268.7,1.3,8
