name,position,team,injury_status,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Tyler Warren,TE,IND,,0,0,0,0,0,6.3,14.4,0.4,86.7,869.6,5.2,115.4,0,0,0,0,0,0,0,208.1
TreVeyon Henderson,RB,NE,,0,0,0,0,0,194.1,853,6.8,43.2,299.8,1.6,51.9,0,0,0,0,0,0,0,208.1
Jameson Williams,WR,DET,,0,0,0,0,0,7,45.1,0.6,64.2,1028.7,5.7,102.2,0,0,0,0,0,0,0,208.8
Jadarian Price,RB,SEA,,0,0,0,0,0,220.4,911.8,7.8,28.4,223.3,1.3,37.1,0,0,0,0,0,0,0,195.4
DJ Moore,WR,BUF,,0,0,0,0,0,6.9,35.9,0.4,67.2,945.5,7,107.4,0,0,0,0,0,0,0,209.6
Luther Burden III,WR,CHI,,0,0,0,0,0,9.1,49.5,0.4,74.7,937.6,5.1,113.1,0,0,0,0,0,0,0,205.9
Jayden Daniels,QB,WSH,,347.4,520.2,3855.1,22.4,9.9,131,669.9,5.1,0,0,0,0,0,0,0,0,0,0,0,318.9
Rome Odunze,WR,CHI,,0,0,0,0,0,0,0,0,59,1029.5,8.5,118.3,0,0,0,0,0,0,0,212.9
Marvin Harrison Jr.,WR,ARI,,0,0,0,0,0,0,0,0,68.7,956.2,5.1,126.1,0,0,0,0,0,0,0,194
Bhayshul Tuten,RB,JAX,,0,0,0,0,0,237.6,993.9,6.7,33.7,249.9,1.4,45.3,0,0,0,0,0,0,0,205.3
D'Andre Swift,RB,CHI,,0,0,0,0,0,219.4,994.4,8.1,30.3,269.5,1.1,41.1,0,0,0,0,0,0,0,211.6
Harold Fannin Jr.,TE,CLE,,0,0,0,0,0,8.5,21.1,0.3,83.1,818.7,3.2,119.3,0,0,0,0,0,0,0,187.5
David Montgomery,RB,HOU,,0,0,0,0,0,214.1,928.7,7,31.6,231,0.6,38.4,0,0,0,0,0,0,0,192
Chuba Hubbard,RB,CAR,,0,0,0,0,0,231.6,930.3,5,44.9,333.6,1.6,57.2,0,0,0,0,0,0,0,210.5
Michael Pittman Jr.,WR,PIT,,0,0,0,0,0,0,0,0,88.4,859.9,3.8,130.4,0,0,0,0,0,0,0,196.4
Jordyn Tyson,WR,NO,Q,0,0,0,0,0,0,0,0,67.4,917.3,5,109.5,0,0,0,0,0,0,0,188.3
Drake Maye,QB,NE,,355.2,520,4094.2,26.9,11.2,101,531.5,4,0,0,0,0,0,0,0,0,0,0,0,318.6
Joe Burrow,QB,CIN,,385.5,569.7,4119.7,32.8,10.9,51.7,188.9,2.1,0,0,0,0,0,0,0,0,0,0,0,303.5
Jalen Hurts,QB,PHI,,328.1,499.8,3780.5,23.5,9.2,106.2,437.6,9.1,0,0,0,0,0,0,0,0,0,0,0,319.9
Alec Pierce,WR,IND,Q,0,0,0,0,0,0,0,0,68,1023.6,5.4,115.4,0,0,0,0,0,0,0,202.7
